engine,rank,title,link
duckduckgo,1,Cryptocurrency - Wikipedia,https://en.wikipedia.org/wiki/Cryptocurrency
duckduckgo,2,Panorama Cripto | BlockTrends Relatórios,https://www.blocktrends.app/collections/panorama-cripto
duckduckgo,3,Magnata cripto chinês paga mais de R$ 36 milhões por banana presa...,https://www.infomoney.com.br/mundo/magnata-de-cripto-paga-mais-de-r-36-milhoes-por-banana-presa-por-fita-na-parede/
duckduckgo,4,Tienes cripto pero no puedes usarla? Este sistema suizo te... - YouTube,https://www.youtube.com/watch?v=B8gcsOLm5mQ
duckduckgo,5,Cripto cassinos no Brasil: Explorando uma... - Rondoniagora.com,https://www.rondoniagora.com/negocios/cripto-cassinos-no-brasil-explorando-uma-tendencia-em-ascensao
duckduckgo,6,Coruja Morning Cripto #130 21/12/2023 | by Fillipe Trentin | Medium,https://medium.com/@corujacripto/️-coruja-morning-cripto-130-21-12-2023-8310632698e5
duckduckgo,7,Entenda por que Cripto não é dinheiro | TikTok,https://www.tiktok.com/@cryptonews.brasil/video/7488044208088010039
duckduckgo,8,"Meme, Vitalik e a Internet: Como Moo Deng se Tornou... | OKX Brasil",https://www.okx.com/pt-br/learn/meme-vitalik-internet-moo-deng
duckduckgo,9,OKX fará homenagem a Senna durante etapa brasileira da F1,https://br.beincrypto.com/bom-dia-cripto-okx-fara-homenagem-a-senna-durante-etapa-brasileira-da-f1/
duckduckgo,10,"Sem Tocar, Apenas Ganhando: Este Novo Token é um... | Cointimes",https://cointimes.com.br/sem-tocar-apenas-ganhando-este-novo-token-e-um-ponto-de-virada-no-mundo-cripto/
duckduckgo,11,Morning Jog | Substack,https://www.morningjog.com.br/
duckduckgo,12,Giesecke+Devrient - Digital Currencies - CBDC: Digital Cash,https://www.bing.com/aclick?ld=e8jTWo7bHxhHJM7t7LBIqp1TVUCUxT4scFdjiXmATlQNPFVWF3558q7JKmf7yJ7mFTzrZCMLlDc0yB0WvF2Evf2zErnyRX-VpysPJArzuIzGXW2v7J87wVkw_IgjYhLvtQd5DIfFm8jH2XM31UlAj6zhPrKuBUgD10RzJmSl39NvyWQV8XycmpCcx_ke6xSPkSzKniWGKO0ACvcXFsMRnYUli4DRU&u=aHR0cHMlM2ElMmYlMmZ3d3cuZ2ktZGUuY29tJTJmZW4lMmZjdXJyZW5jeS10ZWNobm9sb2d5JTJmZGlnaXRhbC1jdXJyZW5jeS1lY29zeXN0ZW0lM2Z1dG1fdGVybSUzZGRpZ2l0YWwlMjUyMGN1cnJlbmNpZXMlMjZ1dG1fY2FtcGFpZ24lM2QoQWNjU2NhbGUpJTJiLSUyYkclMmItJTJiQ1QlMmItJTJiQnJhemlsJTJiLSUyYlNlYXJjaCUyYi0lMmJFTiUyNnV0bV9zb3VyY2UlM2RiaW5nJTI2dXRtX21lZGl1bSUzZHBwYyUyNmhzYV9hY2MlM2Q0MDE0MTUxMjQzJTI2aHNhX2NhbSUzZDE4OTI3MDY4Mzg3JTI2aHNhX2dycCUzZDEzMTUwMTgzMDc4MjA0ODIlMjZoc2FfYWQlM2QlMjZoc2Ffc3JjJTNkbyUyNmhzYV90Z3QlM2Rrd2QtODIxOTAxNDc2ODUyNTklM2Fsb2MtMjAlMjZoc2Ffa3clM2RkaWdpdGFsJTI1MjBjdXJyZW5jaWVzJTI2aHNhX210JTNkcCUyNmhzYV9uZXQlM2RhZHdvcmRzJTI2aHNhX3ZlciUzZDMlMjZtc2Nsa2lkJTNkMjk5NmYyY2NmNzcwMWMxYzg1NTM5YmY3N2FhNWQ3NDI&rlid=2996f2ccf7701c1c85539bf77aa5d742
duckduckgo,13,"CoinMarketCap - Cryptocurrency Prices, Charts And Market ...",https://coinmarketcap.com/
duckduckgo,14,"Crypto.com: Securely Buy, Sell and Trade Bitcoin, Ethereum ...",https://crypto.com/
duckduckgo,15,"What Is Cryptocurrency? Definition & How It Works ... Cryptocurrency - Wikipedia Cryptocurrency Market Today: News, Prices, Ideas — TradingView Cryptocurrency Prices, Charts, and Crypto Market Cap | CoinGecko Cryptocurrency - Wikipedia What Is Cryptocurrency? Definition & How It Works | Britannica Money Crypto.com: Securely Buy, Sell and Trade Bitcoin, Ethereum and 400… Cryptocurrency - Wikipedia CoinDesk: Bitcoin, Ethereum, XRP, Crypto News and Price Data",https://www.britannica.com/money/what-is-cryptocurrency
duckduckgo,16,"Cryptocurrency Market Today: News, Prices, Ideas — TradingView",https://www.tradingview.com/markets/cryptocurrencies/
duckduckgo,17,"Cryptocurrency Prices, Charts, and Crypto Market Cap | CoinGecko",https://www.coingecko.com/
duckduckgo,18,"CoinDesk: Bitcoin, Ethereum, XRP, Crypto News and Price Data",https://www.coindesk.com/
google,1,Criptomoedas | Nubank,https://nubank.com.br/nu/nubank-criptomoeda
google,2,Regulação Cripto: o que muda com as novas normas do Banco ...,https://www.insper.edu.br/pt/eventos/2025/12/regulacao-cripto-o-que-muda-com-as-novas-normas-do-banco-central
